MONOMER3O-702	YMR298W	Q03579	ceramide synthase LIP1 component	
CPLX-7568			glycogen phosphorylase	
YLR395C-MONOMER	YLR395C	P04039	cytochrome c oxidase chain VIII	
CPLX-7009			S-hydroxymethyl-glutathione dehydrogenase/<i>S</i>-nitrosoglutathione dehydrogenase	
G3O-33062-MONOMER	G3O-33062	P53970	YNL024C	
CPLX-6891				
G3O-29827-MONOMER	G3O-29827	Q12508	Required for Meiotic nuclear Division	
G3O-29002-MONOMER	G3O-29002	P05316	5-FlUoRouridine sensitivity	
ALLANTOICASE-TRIMER			allantoicase trimer	
CPLX3O-9180			TMP diphosphorylase/hydroxyethylthiazole kinase	
G3O-33457-MONOMER	G3O-33457	Q08214	eNdonuclease Three-like Glycosylase	
CPLX3O-630				
G3O-33826-MONOMER	G3O-33826	P41913	Unknown	
G3O-30250-MONOMER	G3O-30250	P40052	Unknown	
CPLX3O-272			sterol C-4 demethylation complex	
CPLX3O-10540			COPIf	
G3O-29401-MONOMER	G3O-29401	Q9URQ5	High-Temperature Lethal	
CPLX3O-10519			non-specific polyamine oxidase	
G3O-30668-MONOMER	G3O-30668	P40956	Glycine Threonine Serine repeat protein	
CPLX-9064			nicotinamidase	
G3O-31807-MONOMER	G3O-31807	Q8TGN3	Unknown	
CPLX-8646			phosphopantothenoylcysteine decarboxylase	
G3O-34232-MONOMER	G3O-34232	O13585	Unknown	
CPLX-8241			thiol oxidase	
YDR044W-MONOMER	YDR044W	P11353	aerobic coproporphyrinogen oxidase	
G3O-31093-MONOMER	G3O-31093	P38690	Unknown	
CPLX-7559			nicotinate nucleotide adenylyltransferase	
G3O-32203-MONOMER	G3O-32203	Q12209	FRE8	
CPLX-672				
CPLX3O-44			minor succinate dehydrogenase (ubiquinone)	
G3O-28839-MONOMER	G3O-28839	P39734	Functionally Related to TCP1	
CPLX3O-23			assimilatory sulfite reductase	
G3O-32633-MONOMER	G3O-32633	P06778	RADiation sensitive	
CPLX3O-10537			N-terminal methionine <i>N</i><sup>&alpha;</sup>-acetyltransferase NatC	
YLR286C-MONOMER	YLR286C	P29029	endochitinase	
CPLX3O-10516				
G3O-29811-MONOMER	G3O-29811	Q03776	Pre-mRNA Processing	
CPLX-8763			3-isopropylmalate dehydrogenase	
G3O-33441-MONOMER	G3O-33441	Q92325	Longevity Assurance Gene	
CPLX-8688			alcohol dehydrogenase II	
G3O-33810-MONOMER	G3O-33810	P40825	ALAnyl-tRNA synthetase	
G3O-30234-MONOMER	G3O-30234	P40037	Homologous Mmf1p Factor	
CPLX-8637			GMP synthase	
G3O-29385-MONOMER	G3O-29385	P25341	protein KINase	
CPLX-8140			hypoxanthine guanine phosphoribosyltransferase	
CPLX-7401			glucosamine-6-phosphate <i>N</i>-acetyltransferase 1	
G3O-30652-MONOMER	G3O-30652	P32863	RADiation sensitive	
CPLX-623				
G3O-31761-MONOMER	G3O-31761	P47175	High-copy Mep Suppressor	
CPLX3O-80		Q08224	HMP/HMP-P kinase and thiaminase II	
G3O-34216-MONOMER	G3O-34216	Q12214	Hda One Similar	
CPLX3O-38				
YDL142C-MONOMER	YDL142C	Q07560	cardiolipin synthase	
CPLX3O-16			dihydrolipoyl transsuccinylase	
G3O-31077-MONOMER	G3O-31077	P38760	Mex67-Interacting Protein	
CPLX3O-10531			dehydrodolichyl diphosphate synthase complex	
G3O-32186-MONOMER	G3O-32186	P39929	Sucrose NonFermenting	
G3O-28823-MONOMER	G3O-28823	P18409	Mitochondrial Distribution and Morphology	
CPLX3O-10513			ribonucleoside-diphosphate reductase large subunit homodimer	
G3O-32617-MONOMER	G3O-32617	Q04228	UBiquitin regulatory X	
CPLX-8753			PLP synthase	
CPLX-8623			cytidine deaminase	
YLR175W-MONOMER	YLR175W	P33322	pseudouridylate synthase	
CPLX-7938			phosphatidylinositol-3,5-bisphosphate regulatory complex	
G3O-29795-MONOMER	G3O-29795	Q12151	UPtake Control	
CPLX-7294				
G3O-33028-MONOMER	G3O-33028	Q3E7B5	Unknown	
CPLX-568				
G3O-33425-MONOMER	G3O-33425	Q08058	COenzyme Q	
CPLX3O-78			ceramide synthase	sphingosine <i>N</i>-acyltransferase
G3O-30217-MONOMER	G3O-30217	P40024	ATP-binding cassette protein involved in Ribosome Biogenesis	
CPLX3O-33			2-ketoglutarate dehydrogenase complex	KGDC, 2-oxoglutarate dehydrogenase complex, alpha-ketoglutarate dehydrogenase complex
G3O-29369-MONOMER	G3O-29369	P10862	RADiation sensitive	
CPLX3O-12			2-ketoglutarate dehydrogenase	alpha-oxoketoglutarate dehydrogenase, 2-oxoketoglutarate dehydrogenase, 2-ketoglutarate dehydrogenase
G3O-30636-MONOMER	G3O-30636	P53119	Hect Ubiquitin Ligase	
CPLX3O-10528			5-carboxymethylaminomethyluridine-[tRNA] synthase	
G3O-33797-MONOMER	G3O-33797	Q12507	SuperFicial pseudohyphal Growth	
CPLX3O-105			ubiquinol cytochrome c reductase	
G3O-31745-MONOMER	G3O-31745	P47159	Unknown	
CPLX-8720		P32573		
G3O-34200-MONOMER	G3O-34200	Q12049	THO-related Protein	
CPLX-8685			malate synthase 1	
G3O-29756-MONOMER	G3O-29756	Q12030	TATA binding protein-Associated Factor	
YDL022W-MONOMER	YDL022W	Q00055	glycerol 3-phosphate dehydrogenase monomer	Gpd1p
CPLX-8571			serine palmitoyltransferase	
CPLX-7727			dihydroorotate dehydrogenase, type 1A	
G3O-31061-MONOMER	G3O-31061	P38727	YHL044W	
CPLX-709				
G3O-32169-MONOMER	G3O-32169	Q07914	Presequence translocase-Associated Motor	
CPLX-564				
G3O-32586-MONOMER	G3O-32586	P0CF00	Unknown	
YLR058C-MONOMER	YLR058C	P37291	serine hydroxymethyltransferase, cytosolic	
CPLX3O-71			2-oxo acid decarboxylase	
CPLX3O-316			pyruvate dehydrogenase multienzyme complex	
G3O-29779-MONOMER	G3O-29779	P53688	histone acetyllysine <i>N</i>-acetyltransferase HST4	
CPLX3O-110				
G3O-32979-MONOMER	G3O-32979	Q04869	YMR315W	
CPLX3O-10525				
G3O-33408-MONOMER	G3O-33408	P0C074	Yeast Splicing Factor 3b subunit	
CPLX-9296			cysteine-<em>S</em>-conjugate &beta;-lyase	<small>L</small>-cysteine desulfidase
G3O-30201-MONOMER	G3O-30201	P40013	BInding to Microtubules	
G3O-29353-MONOMER	G3O-29353	P23255	TATA binding protein-Associated Factor	
CPLX-8704			peroxisomal multifunctional enzyme type 2	
CPLX-8310			tRNA<sup>His</sup> guanylyltransferase	
G3O-30620-MONOMER	G3O-30620	P25443	Ribosomal Protein of the Small subunit	
CPLX-7572				
G3O-33781-MONOMER	G3O-33781	Q08748	Unknown	
G3O-31728-MONOMER	G3O-31728	P47140	Altered Inheritance of Mitochondria	
CPLX-706			acetyl-CoA C-acetyltransferase	
G3O-34184-MONOMER	G3O-34184	P32795	Yeast Mitochondrial Escape	
CPLX-4261				
CPLX3O-67			pyruvate decarboxylase 2	
G3O-29740-MONOMER	G3O-29740	P22470	Sir Antagonist	
CPLX3O-29				
G3O-31045-MONOMER	G3O-31045	P18888	Sucrose NonFermenting	
CPLX3O-10541			COPI coatomer complex	
G3O-32153-MONOMER	G3O-32153	Q12244	Unknown	
CPLX3O-10520		P21182	S-adenosylmethionine decarboxylase	
YCL054W-MONOMER	YCL054W	P25582	methyltransferase	
CPLX-9252			mannosyl-oligosaccharide &alpha;-1,3-glucosidase	&alpha;-glucosidase II
G3O-32570-MONOMER	G3O-32570	Q3E798	MIM2	
CPLX-8694			4-amino-2-methyl-5-phosphomethylpyrimidine synthase	
YKL218C-MONOMER	YKL218C	P36007	Serine Racemase	
G3O-32963-MONOMER	G3O-32963	Q03557	Hmg2p ER Remodeling	
CPLX-8670			ISU1 [Fe-S] cluster scaffold protein	
G3O-33369-MONOMER	G3O-33369	P53751	Unknown	
CPLX-8294			tRNA (guanine<sup>10</sup>-<i>N</i><sup>2</sup>)-methyltransferase	
CPLX-7560			alanine--glyoxylate aminotransferase 1	
G3O-30185-MONOMER	G3O-30185	P0CX08	Deletion Suppressor of mptFive/pufFive mutation	
CPLX-6892				
G3O-29337-MONOMER	G3O-29337	P25619	Heat Shock Protein	
G3O-30604-MONOMER	G3O-30604	P46672	Acyl-RNA-Complex	
G3O-33765-MONOMER	G3O-33765	P12962	Cap Associated Factor	
G3O-31712-MONOMER	G3O-31712	P47130	YJR084W	
G3O-34168-MONOMER	G3O-34168	Q12031	mitochondrial 2-methylisocitrate lyase	
G3O-29723-MONOMER	G3O-29723	P26798	INOsitol requiring	
G3O-31029-MONOMER	G3O-31029	Q03497	STErile	
G3O-32137-MONOMER	G3O-32137	Q07844	RIbosome eXport	
YBR243C-MONOMER	YBR243C	P07286	UDP-<em>N</em>-acetylglucosamine&mdash;dolichyl-phosphate <em>N</em>-acetylglucosaminephosphotransferase	<i>N</i>-acetyl glucosaminyl phosphate transferase, UDP-<i>N</i>-acetyl-D-glucosamine:dolichyl-phosphate <i>N</i>-acetyl-D-glucosaminephosphotransferase, UDP-<i>N</i>-acetylglucosamine-dolichyl-phosphate <i>N</i>-acetylglucosaminephosphotransferase, UDP-<i>N</i>-acetylglucosamine-1-P transferase, UDP-<i>N</i>-acetylglucosamine: dolichyl phosphate, <i>N</i>-acetylglucosamine-1-phosphate transferase, UDP-N-acetyl-glucosamine-1-P transferase, Dol-PP-GlcNAc-1-P-transferase
G3O-32506-MONOMER	G3O-32506	Q06208	Rap1p-Interacting Factor	
YKL104C-MONOMER	YKL104C	P14742	glucoseamine-6-phosphate synthase	
G3O-32946-MONOMER	G3O-32946	P48524	Binds Ubiquitin Ligase	
G3O-33353-MONOMER	G3O-33353	P53738	tRNA (guanine<sup>10</sup>-<i>N</i><sup>2</sup>)-methyltransferase subunit TRM112	tRNA methyltransferase 112, eRF1 methyltransferase subunit TRM112, TRna Methyltransferase, multifunctional methyltransferase subunit TRM112
G3O-30169-MONOMER	G3O-30169	P32610	Vacuolar Membrane Atpase	
G3O-29321-MONOMER	G3O-29321	P25342	Cell Division Cycle	
G3O-33749-MONOMER	G3O-33749	Q08702	Histidine triad NucleoTide-binding	
G3O-31696-MONOMER	G3O-31696	P32529	RNA Polymerase A	
G3O-34150-MONOMER	G3O-34150	Q08981	APC/C[Cdh1] Modulator	
G3O-30591-MONOMER	G3O-30591	P52920	Nucleotide Binding Protein	
G3O-29707-MONOMER	G3O-29707	Q12116	Unknown	
G3O-31012-MONOMER	G3O-31012	Q3E786	Unknown	
G3O-32119-MONOMER	G3O-32119	Q12431	ER Membrane protein Complex	
YBR093C-MONOMER	YBR093C	P00635	acid phosphatase	PhoE
G3O-32490-MONOMER	G3O-32490	Q06671	AuTophaGy related	
YJR143C-MONOMER	YJR143C	P46971	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase	
G3O-32930-MONOMER	G3O-32930	Q04835	Unknown	
G3O-33337-MONOMER	G3O-33337	P53628	Sucrose NonFermenting	
G3O-30152-MONOMER	G3O-30152	P39987	ExtraCellular Mutant	
G3O-29303-MONOMER	G3O-29303	P25380	SPorulation Specific 2 too (2)	
G3O-33733-MONOMER	G3O-33733	P35843	Homologous to kES1	
G3O-31680-MONOMER	G3O-31680	P0CS90	Stress-Seventy subfamily C	
G3O-34133-MONOMER	G3O-34133	Q12523	Unknown	
G3O-30575-MONOMER	G3O-30575	P10961	Heat Shock transcription Factor	
G3O-29690-MONOMER	G3O-29690	P33304	Alpha-Factor Receptor regulator	
G3O-30942-MONOMER	G3O-30942	P53333	Complexed With Cef1p	
G3O-32100-MONOMER	G3O-32100	Q8TGT2	Unknown	
YBR003W-MONOMER	YBR003W	P18900	hexaprenyl diphosphate synthase subunit	
G3O-32474-MONOMER	G3O-32474	Q06688	Benomyl REsistant 1	
YJR025C-MONOMER	YJR025C	P47096		
G3O-31386-MONOMER	G3O-31386	P40463	Viable in a Hal3 Sit4 background	
G3O-32914-MONOMER	G3O-32914	Q05024	Unknown	
G3O-33321-MONOMER	G3O-33321	P32907	Ammonia (Ammonium) Transport Outward	
G3O-30135-MONOMER	G3O-30135	P39953	YEA6	
MONOMER3O-301	YCL035C	P25373	oxidized glutaredoxin 1	Grx1, glutaredoxin oxidized, protein-disulfide reductase (glutathione), glutathione:protein-disulfide oxidoreductase
G3O-29287-MONOMER	G3O-29287	P25376	high-Affinity Glutamine Permease	
G3O-33717-MONOMER	G3O-33717	Q12032	Altered Inheritance of Mitochondria	
G3O-31660-MONOMER	G3O-31660	P47090	Unknown	
MONOMER3O-300	YCL035C		reduced glutaredoxin 1	
G3O-34117-MONOMER	G3O-34117	Q99395	Unknown	
G3O-30559-MONOMER	G3O-30559	P39936	Translation Initiation Factor	
G3O-29674-MONOMER	G3O-29674	Q12454	Oxidant-induced Cell-cycle Arrest	
G3O-30926-MONOMER	G3O-30926	P32379	PUtative Proteasome subunit	
G3O-32064-MONOMER	G3O-32064	P36170	FLOcculation	
YAL060W-MONOMER	YAL060W	P39714	2,3-butanediol dehydrogenase	2,3-butanediol dehydrogenase subunit, (2R,3R)-2,3-butanediol dehydrogenase
G3O-32457-MONOMER	G3O-32457	P18634	Arrestin-Related Trafficking adaptors	
G3O-32061-MONOMER	G3O-32061	P22035	BASal	
YAL038W-MONOMER	YAL038W	P00549	pyruvate kinase	
G3O-32454-MONOMER	G3O-32454	P41057	Ribosomal Protein of the Small subunit	
YJL101C-MONOMER	YJL101C	P32477	gamma-glutamylcysteine synthetase	
G3O-31367-MONOMER	G3O-31367	P40479	Stress-inducible Dual specificity Phosphatase	
G3O-32895-MONOMER	G3O-32895	Q03653	PHO Eighty Five Requiring	
G3O-33300-MONOMER	G3O-33300	P42842	Essential for Maintenance of the cell Wall	
G3O-30112-MONOMER	G3O-30112	Q3E6R5	Unknown	
G3O-29263-MONOMER	G3O-29263	Q8TGU7	Unknown	
G3O-33698-MONOMER	G3O-33698	P21339	Multicopy Suppressor of a Budding defect	
G3O-31641-MONOMER	G3O-31641	P40886	HeXose Transporter	
G3O-34098-MONOMER	G3O-34098	Q08960	tRNA-4-demethylwyosine synthase	tRNA wybutosine-synthesizing protein 1
G3O-30539-MONOMER	G3O-30539	P43639	Casein Kinase Beta subunit	
G3O-29655-MONOMER	G3O-29655	Q03201	Ribosomal Small subunit of Mitochondria	
G3O-30907-MONOMER	G3O-30907	P32566	Suppressor of MAR Inhibitor	
G3O-32045-MONOMER	G3O-32045	P36161	NUclear Pore	
MONOMER3O-81	G3O-34143	Q08975		THIamine metabolism
G3O-32438-MONOMER	G3O-32438	Q05931	chaperone for [Fe-S] cluster biosynthesis	stress-seventy subfamily Q
YIR031C-MONOMER	YIR031C	P21826	malate synthase 2	
G3O-31351-MONOMER	G3O-31351	P40498	U Three Protein	
G3O-32879-MONOMER	G3O-32879	Q04322	GYp Like	
G3O-33284-MONOMER	G3O-33284	P48564	Unknown	
G3O-30048-MONOMER	G3O-30048	Q03036	Increased Recombination Centers	
G3O-29247-MONOMER	G3O-29247	Q6Q595	Suppressor of Choline Sensitivity	
G3O-33682-MONOMER	G3O-33682	Q12104	Synthetically lethal With Trex	
G3O-31625-MONOMER	G3O-31625	P39542	Unknown	
G3O-34082-MONOMER	G3O-34082	Q08929	Glycerol UPtake	
G3O-30518-MONOMER	G3O-30518	Q3E838	Unknown	
G3O-29639-MONOMER	G3O-29639	Q12421	AuTophaGy related	
G3O-30890-MONOMER	G3O-30890	P42940	Changed Intracellular Redox state	
G3O-32029-MONOMER	G3O-32029	P33550	Kre Two Related	
MONOMER3O-504	YDR196C	Q03941	dephospho-CoA kinase	
G3O-32422-MONOMER	G3O-32422	Q06139	Unknown	
YIL099W-MONOMER	YIL099W	P08019	Sporulation-specific GlycoAmylase	glucoamylase subunit
G3O-31334-MONOMER	G3O-31334	P40514	Unknown	
G3O-32863-MONOMER	G3O-32863	P50263	Salt Induced Protein	
G3O-33268-MONOMER	G3O-33268	P53839	glyoxylate reductase 1	
G3O-30032-MONOMER	G3O-30032	Q04406	Early Meiotic Induction	
G3O-29209-MONOMER	G3O-29209	P38356	Bypass Sod1p Defects	
G3O-33665-MONOMER	G3O-33665	Q12171	Mitochondrial Distribution and Morphology	
G3O-31609-MONOMER	G3O-31609	P26755	Replication Factor A	
G3O-34066-MONOMER	G3O-34066	Q12091	DAmage resistance Protein	
G3O-30489-MONOMER	G3O-30489	P43614	Kre6-binding ER protein responsible for Glucan synthesis	
G3O-29623-MONOMER	G3O-29623	Q07788	COnserved Sequence	
G3O-30874-MONOMER	G3O-30874	P19812	RING-type E3 ubiquitin transferase UBR1	
G3O-32013-MONOMER	G3O-32013	P36135	yoUTH	
MONOMER3O-4030	YMR261C	P38426	trehalose synthase complex regulatory subunit TPS3	&alpha;,&alpha;-trehalose-phosphate synthase [UDP-forming] 115 kDa subunit
G3O-32406-MONOMER	G3O-32406	P53769	Complexed With Cef1p	
YHR190W-MONOMER	YHR190W	P29704	squalene synthetase	
G3O-31318-MONOMER	G3O-31318	P40528	Unknown	
G3O-32847-MONOMER	G3O-32847	Q03798	Altered Inheritance rate of Mitochondria	
YPR074C-MONOMER	YPR074C	P23254	transketolase	
G3O-33252-MONOMER	G3O-33252	P53849	GIg Suppressor	
G3O-30016-MONOMER	G3O-30016	Q03429	Mitochondrial Zinc Maintenance	
G3O-29193-MONOMER	G3O-29193	P38348	enHanced Spontaneous Mutability	
G3O-33649-MONOMER	G3O-33649	P07274	ProFilin of Yeast	
G3O-31593-MONOMER	G3O-31593	P47005	Dst1-delta 6-Azauracil Sensitivity	
G3O-34050-MONOMER	G3O-34050	P22216	RADiation sensitive	
G3O-30473-MONOMER	G3O-30473	P43602	Revertant Of Glycogen synthase kinase mutation	
G3O-29605-MONOMER	G3O-29605	Q07657	Seventh Homolog of Septin	
G3O-30858-MONOMER	G3O-30858	P48240	MRNA TRansport	
G3O-31997-MONOMER	G3O-31997	P36117	Arrestin-Like Yeast protein	
MONOMER3O-352	G3O-343	P42951	1-phosphatidylinositol 4-kinase	Las Seventeen Binding protein
G3O-32389-MONOMER	G3O-32389	Q12349	ATP synthase	
YHR062C-MONOMER	YHR062C	P38786	ribonuclease P	
G3O-31302-MONOMER	G3O-31302	P40538	Unknown	
G3O-32831-MONOMER	G3O-32831	P39110	Chromosome INstability	
YPL171C-MONOMER	YPL171C	P41816	NADPH dehydrogenase	
G3O-33236-MONOMER	G3O-33236	P53584	Yeast putative Transmembrane Protein	
G3O-30000-MONOMER	G3O-30000	Q03338	Pre-mRNA Processing	
G3O-29177-MONOMER	G3O-29177	P33759	Mitochondrial Ribosomal Protein, Small subunit	
G3O-33633-MONOMER	G3O-33633	Q12289	CaRnitine Carrier	
G3O-31577-MONOMER	G3O-31577	P35208	SuPpressor of Ty	
G3O-34034-MONOMER	G3O-34034	Q03020	ISU1 [Fe-S] cluster scaffold protein monomer	
G3O-30457-MONOMER	G3O-30457	P43588	Regulatory Particle Non-ATPase	
G3O-29589-MONOMER	G3O-29589	Q12315	GLFG (glycine-leucine-phenylalanine-glycine) LEthal	
G3O-30841-MONOMER	G3O-30841	P23638	PRoteinase yscE	
G3O-31981-MONOMER	G3O-31981	Q02201	OxySterol binding protein Homolog	
MONOMER3O-269	YDL090C	P22007	protein farnesyltransferase, beta subunit	
G3O-32373-MONOMER	G3O-32373	P29496	MiniChromosome Maintenance	
YGR292W-MONOMER	YGR292W	P53341	maltase	
G3O-31286-MONOMER	G3O-31286	P40555	Non-ATPase Subunit	
G3O-32815-MONOMER	G3O-32815	P54780	Ribosomal Protein of the Large subunit	
YOR375C-MONOMER	YOR375C	P07262	NADP-specific glutamate dehydrogenase 1 subunit	
G3O-33220-MONOMER	G3O-33220	P40155	PEroXisome related	
G3O-29984-MONOMER	G3O-29984	Q04121	Na+/H+ eXchanger	
G3O-29161-MONOMER	G3O-29161	P38324	Synthetic Lethal of unknown (X) function	
G3O-33617-MONOMER	G3O-33617	Q08496	Digs Into Agar	
G3O-31559-MONOMER	G3O-31559	P42948	SET domain-containing	
G3O-34018-MONOMER	G3O-34018	P24784	Dead Box Protein	
G3O-30441-MONOMER	G3O-30441	P35191	Mitochondrial DnaJ	
G3O-29573-MONOMER	G3O-29573	P23595	Protein PHosphatase	
G3O-30825-MONOMER	G3O-30825	P0CX29	Ribosomal Protein of the Small subunit	
G3O-31965-MONOMER	G3O-31965	P36040	Alpha1-proteinase inhibitor-Degradation Deficient	
MONOMER3O-17	YDR428C	Q04066	Biosynthesis of NAD	
G3O-32357-MONOMER	G3O-32357	Q06567	Unknown	
YGR199W-MONOMER	YGR199W	P42934	dolichyl phosphate-D-mannose:protein O-D-mannosyltransferase	
G3O-31269-MONOMER	G3O-31269	Q8TGT6	Unknown	
G3O-32799-MONOMER	G3O-32799	Q03161	D-glucose 6-phosphate 1-epimerase	
YOR209C-MONOMER	YOR209C	P39683	nicotinate phosphoribosyl transferase	
G3O-33204-MONOMER	G3O-33204	P40169	YNL194C	
G3O-29968-MONOMER	G3O-29968	Q04067	Translation Initiation Factor	
G3O-29145-MONOMER	G3O-29145	P38130	&alpha;-1,2 mannosyltransferase KTR3	
G3O-33600-MONOMER	G3O-33600	Q08457	Synthetic Lethality with Dpb11-24	
G3O-31541-MONOMER	G3O-31541	P47029	Arrestin-Like Yeast protein	
G3O-34002-MONOMER	G3O-34002	Q02888	Altered Inheritance rate of Mitochondria	
G3O-30425-MONOMER	G3O-30425	P02557	TUBulin	
G3O-29557-MONOMER	G3O-29557	P06100	Cell Division Cycle	
G3O-30809-MONOMER	G3O-30809	P53038	TELomere maintenance	
G3O-31949-MONOMER	G3O-31949	P34232	Mrna TRansport	
MONOMER3O-10	G3O-310	Q99312	IMP-specific 5'-nucleotidase monomer	
G3O-32341-MONOMER	G3O-32341	Q05955	Accumulation of DYads	
YGR061C-MONOMER	YGR061C	P38972		Ade6
G3O-31234-MONOMER	G3O-31234	P38892	Cantharidin Resistance Gene	
G3O-28991-MONOMER	G3O-28991	P38162	Mitochondrial Intermembrane space Cysteine motif protein	
G3O-32783-MONOMER	G3O-32783	P32488	Increasing Suppression Factor	
YOR120W-MONOMER	YOR120W	P14065	aldo/keto reductases	
G3O-33188-MONOMER	G3O-33188	P53882	Topoisomerase I Damage Affected	
G3O-29952-MONOMER	G3O-29952	Q04195	SAP and mIZ-finger domain	
G3O-29129-MONOMER	G3O-29129	P38126	Pachytene CHeckpoint	
G3O-33584-MONOMER	G3O-33584	P32480	HIstone Regulation	
G3O-31525-MONOMER	G3O-31525	P22353	Mitochondrial Ribosomal Protein, Large subunit	
G3O-33986-MONOMER	G3O-33986	Q12672	Ribosomal Protein of the Large subunit	
G3O-30408-MONOMER	G3O-30408	P43545	SNooZe	
G3O-29541-MONOMER	G3O-29541	Q07589	Unknown	
G3O-30793-MONOMER	G3O-30793	P53251	SLX9	
G3O-31933-MONOMER	G3O-31933	P36051	Morphogenesis Checkpoint Dependent	
G3O-42692-MONOMER	G3O-42692		Vps63p	
G3O-32325-MONOMER	G3O-32325	Q05787	HMG-coA Reductase Degradation	
YGL205W-MONOMER	YGL205W	P13711	fatty-acyl coenzyme A oxidase	
G3O-31218-MONOMER	G3O-31218	P38876	Peptidyl-Trna Hydrolase	
G3O-28975-MONOMER	G3O-28975	P38177	Unknown	
G3O-32767-MONOMER	G3O-32767	Q04746	KARyogamy	
YOL096C-MONOMER	YOL096C	P27680	hexaprenyldihydroxybenzoate methyltransferase	
G3O-33172-MONOMER	G3O-33172	P53898	NSG2	
G3O-29936-MONOMER	G3O-29936	P39743	Reduced Viability on Starvation	
G3O-29113-MONOMER	G3O-29113	P38289	EXOnuclease V	
G3O-33568-MONOMER	G3O-33568	P38910	Heat Shock Protein	
G3O-31509-MONOMER	G3O-31509	P32806	Gtpase-activating protein of Ypt6 Protein	
G3O-33970-MONOMER	G3O-1606	Q02784	mitochondrial monothiol glutaredoxin 5	reduced glutaredoxin 5, GlutaRedoXin
G3O-30390-MONOMER	G3O-30390	Q3E7B0	Unknown	
G3O-29525-MONOMER	G3O-29525	P25694	Cell Division Cycle	
G3O-30777-MONOMER	G3O-30777	P53239	Cytochrome c OXidase	
G3O-31917-MONOMER	G3O-31917	P35719	Mitochondrial Ribosomal Protein	
G3O-34374-MONOMER	G3O-34374	P03877	AI3	
G3O-32309-MONOMER	G3O-32309	Q06287	Essential for Mitotic Growth	
YGL055W-MONOMER	YGL055W	P21147	stearoyl-CoA 9-desaturase	acyl-coA desaturase 1
G3O-31202-MONOMER	G3O-31202	P38860	MiTochondrial Gtpase 2	
G3O-28959-MONOMER	G3O-28959	P34226	SKT5	
G3O-32747-MONOMER	G3O-32747	P07249	ARGinine requiring	
YNR028W-MONOMER	YNR028W	P53728	cyclophilin	
G3O-33156-MONOMER	G3O-33156	P27929	Nuclear Accommodation of Mitochondria	
G3O-29920-MONOMER	G3O-29920	Q06349	Unknown	
G3O-29096-MONOMER	G3O-29096	P38112	MAintenance of Killer	
G3O-33552-MONOMER	G3O-33552	Q12149	Ribosomal RNA Processing	
G3O-31493-MONOMER	G3O-31493	P47065	PETite colonies	
G3O-33954-MONOMER	G3O-33954	P48526	Isoleucyl tRNA Synthetase of Mitochondria	
G3O-30345-MONOMER	G3O-30345	P40105	YRF1-2	
G3O-29509-MONOMER	G3O-29509	P06242	protein KINase	
G3O-30761-MONOMER	G3O-30761	P53226	BUD site selection	
G3O-31901-MONOMER	G3O-31901	P28707	increased Sensitivity to Benzoquinone Ansamycins	
G3O-34325-MONOMER	G3O-34325	P80967	Translocase of the Outer Mitochondrial membrane	
G3O-32293-MONOMER	G3O-32293	P10507	mitochondrial-processing peptidase &beta; subunit	
YFR015C-MONOMER	YFR015C	P23337	UDP-glucose-starch glucosyltransferase	
G3O-31186-MONOMER	G3O-31186	P38849	Maintenance of Telomere Capping	
G3O-28943-MONOMER	G3O-28943	P38196	5-FlUorourIdine resistance	
G3O-32730-MONOMER	G3O-32730	Q04368	Cop9 Signalosome Interactor	
YNL219C-MONOMER	YNL219C	P53868	Dol-PP-GlcNAc2:Man6:Man transferase	Alg9p, mannosyltransferase, Dol-P-Man dependent alpha (1,2) mannosyltransferase
G3O-33139-MONOMER	G3O-33139	P53924	Defective in Mitotic Arrest	
G3O-29904-MONOMER	G3O-29904	P50273	ATPase synthase	
G3O-29080-MONOMER	G3O-29080	P32367	Transcription Factor class C	
G3O-33535-MONOMER	G3O-33535	P89105	Cln Three (CLN3) Requiring	
G3O-31474-MONOMER	G3O-31474	Q3E7Z4	Unknown	
G3O-33938-MONOMER	G3O-33938	Q02724	Ubiquitin-Like Protein	
G3O-30329-MONOMER	G3O-30329	P21269	tRNA CCA-pyrophosphorylase	
MONOMER3O-32362	YOL052C		S-adenosylmethionine decarboxylase, &alpha; chain	
G3O-29493-MONOMER	G3O-29493	Q07478	SUppressor of Brr1-1	
CPD-7010			(1,4-&alpha;-D-glucosyl)<sub>n</sub>-glucosyl glucogenin	
G3O-30745-MONOMER	G3O-30745	P53211	Unknown	
MONOMER3O-32361	YOL052C		S-adenosylmethionine decarboxylase, &beta; chain	
G3O-31885-MONOMER	G3O-31885	P28321	monoacylglycerol lipase	
G3O-34309-MONOMER	G3O-34309	P39933	Putative Zinc Finger	
G3O-32277-MONOMER	G3O-32277	Q12367	Ribosomal lysine (K) Methyltransferase 5	
YER086W-MONOMER	YER086W	P00927	threonine deaminase	
G3O-31170-MONOMER	G3O-31170	P38836	ExtraCellular Mutant	
G3O-28927-MONOMER	G3O-28927	P38205	multisite-specific tRNA:(cytosine-<i>C</i><sup>5</sup>)-methyltransferase	multisite-specific tRNA:m5C-methyltransferase, NuCLear protein, tRNA (cytosine-5-)-methyltransferase NCL1
G3O-32713-MONOMER	G3O-32713	Q03667	Mitochondrial Intermembrane space Cysteine motif protein of 17 kDa	
